Store_Number,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price, CPI ,Unemployment
1,12/23/2011,2270189,0,47.96,3.112,219,7.866
1,12/30/2011,1497463,1,44.55,3.129,220,7.866
1,1/6/2012,1550370,0,49.01,3.157,220,7.348
1,1/13/2012,1459601,0,48.53,3.261,220,7.348
1,1/20/2012,1394394,0,54.11,3.268,220,7.348
1,1/27/2012,1319326,0,54.26,3.29,220,7.348
1,2/3/2012,1636340,0,56.55,3.36,220,7.348
1,2/10/2012,1802477,1,48.02,3.409,220,7.348
1,2/17/2012,1819870,0,45.32,3.51,220,7.348
1,2/24/2012,1539388,0,57.25,3.555,221,7.348
1,3/2/2012,1688421,0,60.96,3.63,221,7.348
1,3/9/2012,1675431,0,58.76,3.669,221,7.348
1,3/16/2012,1677473,0,64.74,3.734,221,7.348
1,3/23/2012,1511068,0,65.93,3.787,221,7.348
1,3/30/2012,1649605,0,67.61,3.845,221,7.348
1,4/6/2012,1899677,0,70.43,3.891,221,7.143
1,4/13/2012,1621032,0,69.07,3.891,222,7.143
1,4/20/2012,1521578,0,66.76,3.877,222,7.143
1,4/27/2012,1468928,0,67.23,3.814,222,7.143
1,5/4/2012,1684520,0,75.55,3.749,222,7.143
1,5/11/2012,1611096,0,73.77,3.688,222,7.143
1,5/18/2012,1595902,0,70.33,3.63,222,7.143
1,5/25/2012,1555445,0,77.22,3.561,222,7.143
1,6/1/2012,1624478,0,77.95,3.501,222,7.143
1,6/8/2012,1697231,0,78.3,3.452,222,7.143
1,6/15/2012,1630607,0,79.35,3.393,222,7.143
1,6/22/2012,1527846,0,78.39,3.346,222,7.143
1,6/29/2012,1540421,0,84.88,3.286,222,7.143
1,7/6/2012,1769854,0,81.57,3.227,222,6.908
1,7/13/2012,1527014,0,77.12,3.256,222,6.908
1,7/20/2012,1497955,0,80.42,3.311,222,6.908
1,7/27/2012,1439124,0,82.66,3.407,222,6.908
1,8/3/2012,1631136,0,86.11,3.417,222,6.908
1,8/10/2012,1592410,0,85.05,3.494,222,6.908
1,8/17/2012,1597868,0,84.85,3.571,222,6.908
1,8/24/2012,1494122,0,77.66,3.62,222,6.908
1,8/31/2012,1582083,0,80.49,3.638,222,6.908
1,9/7/2012,1661767,1,83.96,3.73,222,6.908
1,9/14/2012,1517429,0,74.97,3.717,223,6.908
1,9/21/2012,1506126,0,69.87,3.721,223,6.908
1,9/28/2012,1437059,0,76.08,3.666,223,6.908
1,10/5/2012,1670786,0,68.55,3.617,223,6.573
1,10/12/2012,1573073,0,62.99,3.601,223,6.573
1,10/19/2012,1508069,0,67.97,3.594,223,6.573
1,10/26/2012,1493660,0,69.16,3.506,223,6.573
2,2/5/2010,2136989,0,40.19,2.572,211,8.324
2,2/12/2010,2137810,1,38.49,2.548,211,8.324
2,2/19/2010,2124452,0,39.69,2.514,211,8.324
2,2/26/2010,1865097,0,46.1,2.561,211,8.324
2,3/5/2010,1991013,0,47.17,2.625,211,8.324
2,3/12/2010,1990484,0,57.56,2.667,211,8.324
2,3/19/2010,1946071,0,54.52,2.72,211,8.324
2,3/26/2010,1750198,0,51.26,2.732,211,8.324
2,4/2/2010,2066188,0,63.27,2.719,210,8.2
2,4/9/2010,1954689,0,65.41,2.77,210,8.2
2,4/16/2010,1874958,0,68.07,2.808,210,8.2
2,4/23/2010,1821991,0,65.11,2.795,210,8.2
2,4/30/2010,1802450,0,66.98,2.78,210,8.2
2,5/7/2010,2042582,0,71.28,2.835,210,8.2
2,5/14/2010,1880752,0,73.31,2.854,210,8.2
2,5/21/2010,1896937,0,74.83,2.826,210,8.2
2,5/28/2010,1957114,0,81.13,2.759,211,8.2
2,6/4/2010,2102540,0,81.81,2.705,211,8.2
2,6/11/2010,2025539,0,83.4,2.668,211,8.2
2,6/18/2010,2001637,0,85.81,2.637,211,8.2
2,6/25/2010,1939927,0,86.26,2.653,211,8.2
2,7/2/2010,2003941,0,82.74,2.669,211,8.099
2,7/9/2010,1880903,0,82.59,2.642,211,8.099
2,7/16/2010,1845880,0,85.32,2.623,211,8.099
2,7/23/2010,1781718,0,87.66,2.608,211,8.099
2,7/30/2010,1804246,0,83.49,2.64,211,8.099
2,8/6/2010,1991910,0,89.53,2.627,211,8.099
2,8/13/2010,1895601,0,89.05,2.692,211,8.099
2,8/20/2010,1964335,0,88.7,2.664,211,8.099
2,8/27/2010,1863840,0,87.12,2.619,211,8.099
2,9/3/2010,1904608,0,81.83,2.577,211,8.099
2,9/10/2010,1839129,1,79.09,2.565,211,8.099
2,9/17/2010,1793904,0,82.05,2.582,211,8.099
2,9/24/2010,1724557,0,81.79,2.624,211,8.099
2,10/1/2010,1827440,0,69.24,2.603,211,8.163
2,10/8/2010,1849921,0,63.19,2.633,211,8.163
2,10/15/2010,1794355,0,65.8,2.72,211,8.163
2,10/22/2010,1737948,0,68.5,2.725,212,8.163
2,10/29/2010,1802755,0,66.24,2.716,212,8.163
2,11/5/2010,1939061,0,57.85,2.689,212,8.163
2,11/12/2010,1916813,0,59.69,2.728,212,8.163
2,11/19/2010,1956739,0,50.81,2.771,212,8.163
2,11/26/2010,2658725,1,62.98,2.735,211,8.163
2,12/3/2010,2015781,0,49.33,2.708,211,8.163
2,12/10/2010,2378727,0,45.5,2.843,211,8.163
2,12/17/2010,2609167,0,47.55,2.869,211,8.163
2,12/24/2010,3436008,0,49.97,2.886,211,8.163
2,12/31/2010,1750435,1,47.3,2.943,211,8.163
2,1/7/2011,1758051,0,44.69,2.976,211,8.028
2,1/14/2011,1744194,0,33.02,2.983,211,8.028
2,1/21/2011,1751385,0,41.4,3.016,211,8.028
2,1/28/2011,1695372,0,42.83,3.01,212,8.028
2,2/4/2011,1929346,0,38.25,2.989,212,8.028
2,2/11/2011,2168042,1,33.19,3.022,213,8.028
2,2/18/2011,2080885,0,57.83,3.045,213,8.028
2,2/25/2011,1833511,0,60.8,3.065,213,8.028
2,3/4/2011,1981608,0,57.77,3.288,213,8.028
2,3/11/2011,1879107,0,52.7,3.459,214,8.028
2,3/18/2011,1902558,0,62.32,3.488,214,8.028
2,3/25/2011,1766162,0,69.42,3.473,214,8.028
2,4/1/2011,1800171,0,55.43,3.524,214,7.931
2,4/8/2011,1847553,0,67,3.622,215,7.931
2,4/15/2011,1856468,0,69.48,3.743,215,7.931
2,4/22/2011,1886340,0,69.39,3.807,215,7.931
2,4/29/2011,1745545,0,69.21,3.81,215,7.931
2,5/6/2011,1837744,0,61.48,3.906,215,7.931
2,5/13/2011,1838513,0,74.61,3.899,216,7.931
2,5/20/2011,1688282,0,67.14,3.907,215,7.931
2,5/27/2011,1797733,0,76.42,3.786,215,7.931
2,6/3/2011,1933756,0,83.07,3.699,215,7.931
2,6/10/2011,1929153,0,83.4,3.648,215,7.931
2,6/17/2011,1953772,0,86.53,3.637,215,7.931
2,6/24/2011,1790926,0,85.17,3.594,215,7.931
2,7/1/2011,1866243,0,85.69,3.524,215,7.852
2,7/8/2011,1853162,0,87.7,3.48,215,7.852
2,7/15/2011,1785187,0,89.83,3.575,215,7.852
2,7/22/2011,1743816,0,89.34,3.651,215,7.852
2,7/29/2011,1680693,0,90.07,3.682,215,7.852
2,8/5/2011,1876704,0,93.34,3.684,215,7.852
2,8/12/2011,1812768,0,91.58,3.638,215,7.852
2,8/19/2011,1844095,0,89.86,3.554,215,7.852
2,8/26/2011,1821140,0,90.45,3.523,215,7.852
2,9/2/2011,1809120,0,89.64,3.533,215,7.852
2,9/9/2011,1748001,1,77.97,3.546,216,7.852
2,9/16/2011,1691440,0,78.85,3.526,216,7.852
2,9/23/2011,1669300,0,75.58,3.467,216,7.852
2,9/30/2011,1650394,0,78.14,3.355,216,7.852
2,10/7/2011,1837553,0,69.92,3.285,217,7.441
2,10/14/2011,1743882,0,71.67,3.274,217,7.441
2,10/21/2011,1834680,0,64.53,3.353,217,7.441
2,10/28/2011,1769296,0,65.87,3.372,217,7.441
2,11/4/2011,1959708,0,55.53,3.332,217,7.441
2,11/11/2011,1920725,0,59.33,3.297,218,7.441
2,11/18/2011,1902763,0,62.01,3.308,218,7.441
2,11/25/2011,2614202,1,56.36,3.236,218,7.441
2,12/2/2011,1954952,0,48.74,3.172,218,7.441
2,12/9/2011,2290549,0,41.76,3.158,219,7.441
2,12/16/2011,2432737,0,50.13,3.159,219,7.441
2,12/23/2011,3224370,0,46.66,3.112,219,7.441
2,12/30/2011,1874227,1,44.57,3.129,219,7.441
2,1/6/2012,1799520,0,46.75,3.157,219,7.057
2,1/13/2012,1744725,0,45.99,3.261,220,7.057
2,1/20/2012,1711769,0,51.7,3.268,220,7.057
2,1/27/2012,1660906,0,50.5,3.29,220,7.057
2,2/3/2012,1935300,0,55.21,3.36,220,7.057
2,2/10/2012,2103323,1,46.98,3.409,220,7.057
2,2/17/2012,2196688,0,43.82,3.51,220,7.057
2,2/24/2012,1861803,0,54.63,3.555,220,7.057
2,3/2/2012,1952556,0,58.79,3.63,220,7.057
2,3/9/2012,1937628,0,57.11,3.669,221,7.057
2,3/16/2012,1976082,0,63.68,3.734,221,7.057
2,3/23/2012,1790439,0,64.01,3.787,221,7.057
2,3/30/2012,1857481,0,66.83,3.845,221,7.057
2,4/6/2012,2129036,0,68.43,3.891,221,6.891
2,4/13/2012,1935869,0,68.08,3.891,221,6.891
2,4/20/2012,1847344,0,65.69,3.877,221,6.891
2,4/27/2012,1764133,0,67.2,3.814,221,6.891
2,5/4/2012,1923957,0,76.73,3.749,221,6.891
2,5/11/2012,1917521,0,73.87,3.688,221,6.891
2,5/18/2012,2000941,0,71.27,3.63,221,6.891
2,5/25/2012,1912791,0,78.19,3.561,221,6.891
2,6/1/2012,1910092,0,78.38,3.501,221,6.891
2,6/8/2012,2010216,0,78.69,3.452,221,6.891
2,6/15/2012,1962924,0,80.56,3.393,221,6.891
2,6/22/2012,1887733,0,81.04,3.346,221,6.891
2,6/29/2012,1881046,0,86.32,3.286,221,6.891
2,7/6/2012,2041507,0,84.2,3.227,222,6.565
2,7/13/2012,1830075,0,80.17,3.256,222,6.565
2,7/20/2012,1819666,0,83.23,3.311,222,6.565
2,7/27/2012,1757924,0,86.37,3.407,222,6.565
2,8/3/2012,1946105,0,90.22,3.417,222,6.565
2,8/10/2012,1866720,0,88.55,3.494,222,6.565
2,8/17/2012,1928016,0,84.79,3.571,222,6.565
2,8/24/2012,1876788,0,76.91,3.62,222,6.565
2,8/31/2012,1947083,0,82.64,3.638,222,6.565
2,9/7/2012,1898777,1,87.65,3.73,222,6.565
2,9/14/2012,1814807,0,75.88,3.717,222,6.565
2,9/21/2012,1829416,0,71.09,3.721,222,6.565
2,9/28/2012,1746471,0,79.45,3.666,223,6.565
2,10/5/2012,1998321,0,70.27,3.617,223,6.17
2,10/12/2012,1900745,0,60.97,3.601,223,6.17
2,10/19/2012,1847990,0,68.08,3.594,223,6.17
2,10/26/2012,1834458,0,69.79,3.506,223,6.17
3,2/5/2010,461622,0,45.71,2.572,214,7.368
3,2/12/2010,420729,1,47.93,2.548,215,7.368
3,2/19/2010,421642,0,47.07,2.514,215,7.368
3,2/26/2010,407205,0,52.05,2.561,215,7.368
3,3/5/2010,415202,0,53.04,2.625,215,7.368
3,3/12/2010,384201,0,63.08,2.667,215,7.368
3,3/19/2010,375329,0,60.42,2.72,215,7.368
3,3/26/2010,359949,0,57.06,2.732,214,7.368
3,4/2/2010,423294,0,65.56,2.719,214,7.343
3,4/9/2010,415870,0,68,2.77,214,7.343
3,4/16/2010,354993,0,66.98,2.808,214,7.343
3,4/23/2010,339977,0,67.87,2.795,214,7.343
3,4/30/2010,361248,0,70.24,2.78,214,7.343
3,5/7/2010,399324,0,73.47,2.835,214,7.343
3,5/14/2010,384358,0,77.18,2.854,214,7.343
3,5/21/2010,343763,0,75.81,2.826,214,7.343
3,5/28/2010,350089,0,78.6,2.759,214,7.343
3,6/4/2010,396969,0,78.53,2.705,214,7.343
3,6/11/2010,355017,0,82.1,2.668,215,7.343
3,6/18/2010,364077,0,83.52,2.637,215,7.343
3,6/25/2010,357346,0,83.79,2.653,215,7.343
3,7/2/2010,381152,0,82.2,2.669,215,7.346
3,7/9/2010,349214,0,81.75,2.642,214,7.346
3,7/16/2010,352729,0,84.32,2.623,214,7.346
3,7/23/2010,352864,0,83.32,2.608,215,7.346
3,7/30/2010,347955,0,82.04,2.64,215,7.346
3,8/6/2010,402636,0,85.13,2.627,215,7.346
3,8/13/2010,339597,0,86.74,2.692,215,7.346
3,8/20/2010,351728,0,88.02,2.664,215,7.346
3,8/27/2010,362134,0,86.15,2.619,215,7.346
3,9/3/2010,366474,0,84.16,2.577,215,7.346
3,9/10/2010,352261,1,80.84,2.565,215,7.346
3,9/17/2010,363065,0,82.36,2.582,215,7.346
3,9/24/2010,355627,0,76.9,2.624,215,7.346
3,10/1/2010,358784,0,73.6,2.603,215,7.564
3,10/8/2010,395107,0,66.99,2.633,215,7.564
3,10/15/2010,345584,0,69.71,2.72,215,7.564
3,10/22/2010,348896,0,71.64,2.725,215,7.564
3,10/29/2010,348592,0,72.04,2.716,215,7.564
3,11/5/2010,423176,0,62.94,2.689,215,7.564
3,11/12/2010,386635,0,62.79,2.728,215,7.564
3,11/19/2010,372545,0,57.72,2.771,215,7.564
3,11/26/2010,565568,1,68.71,2.735,215,7.564
3,12/3/2010,476421,0,53.76,2.708,215,7.564
3,12/10/2010,467642,0,51.13,2.843,215,7.564
3,12/17/2010,498159,0,52.2,2.869,215,7.564
3,12/24/2010,605990,0,57.16,2.886,215,7.564
3,12/31/2010,382678,1,53.2,2.943,215,7.564
3,1/7/2011,378241,0,53.35,2.976,215,7.551
3,1/14/2011,381061,0,44.76,2.983,215,7.551
3,1/21/2011,350877,0,50.74,3.016,215,7.551
3,1/28/2011,364866,0,48.71,3.01,216,7.551
3,2/4/2011,438517,0,45.95,2.989,216,7.551
3,2/11/2011,430526,1,43.57,3.022,216,7.551
3,2/18/2011,432782,0,61.58,3.045,217,7.551
3,2/25/2011,397211,0,67.4,3.065,217,7.551
3,3/4/2011,437085,0,65.11,3.288,217,7.551
3,3/11/2011,404753,0,61.29,3.459,217,7.551
3,3/18/2011,392110,0,69.47,3.488,218,7.551
3,3/25/2011,380684,0,72.94,3.473,218,7.551
3,4/1/2011,374556,0,68.76,3.524,218,7.574
3,4/8/2011,384075,0,72.55,3.622,218,7.574
3,4/15/2011,366251,0,75.88,3.743,219,7.574
3,4/22/2011,391860,0,76.91,3.807,219,7.574
3,4/29/2011,367405,0,78.69,3.81,219,7.574
3,5/6/2011,413042,0,69.45,3.906,219,7.574
3,5/13/2011,386313,0,79.87,3.899,219,7.574
3,5/20/2011,364603,0,75.79,3.907,219,7.574
3,5/27/2011,369351,0,84.41,3.786,219,7.574
3,6/3/2011,394508,0,84.29,3.699,219,7.574
3,6/10/2011,391639,0,84.84,3.648,218,7.574
3,6/17/2011,403423,0,86.96,3.637,218,7.574
3,6/24/2011,385521,0,84.94,3.594,218,7.574
3,7/1/2011,368963,0,85.1,3.524,219,7.567
3,7/8/2011,395146,0,85.38,3.48,219,7.567
3,7/15/2011,373454,0,87.14,3.575,219,7.567
3,7/22/2011,360617,0,86.19,3.651,219,7.567
3,7/29/2011,345381,0,88.07,3.682,219,7.567
3,8/5/2011,409981,0,88.45,3.684,219,7.567
3,8/12/2011,380377,0,88.88,3.638,219,7.567
3,8/19/2011,379717,0,88.44,3.554,219,7.567
3,8/26/2011,366368,0,87.67,3.523,219,7.567
3,9/2/2011,375989,0,89.12,3.533,219,7.567
3,9/9/2011,377347,1,81.72,3.546,219,7.567
3,9/16/2011,375630,0,83.63,3.526,219,7.567
3,9/23/2011,365249,0,80.19,3.467,220,7.567
3,9/30/2011,368478,0,82.58,3.355,220,7.567
3,10/7/2011,403342,0,75.54,3.285,220,7.197
3,10/14/2011,368283,0,73.75,3.274,221,7.197
3,10/21/2011,394976,0,69.03,3.353,221,7.197
3,10/28/2011,389541,0,71.04,3.372,221,7.197
3,11/4/2011,459443,0,59.31,3.332,221,7.197
3,11/11/2011,407764,0,61.7,3.297,221,7.197
3,11/18/2011,398839,0,63.91,3.308,222,7.197
3,11/25/2011,556925,1,68,3.236,222,7.197
3,12/2/2011,472511,0,54.97,3.172,222,7.197
3,12/9/2011,468773,0,49.26,3.158,222,7.197
3,12/16/2011,510748,0,57.95,3.159,223,7.197
3,12/23/2011,551221,0,53.41,3.112,223,7.197
3,12/30/2011,410554,1,48.29,3.129,223,7.197
3,1/6/2012,398178,0,52.42,3.157,223,6.833
3,1/13/2012,367439,0,51.86,3.261,223,6.833
3,1/20/2012,365819,0,56.2,3.268,223,6.833
3,1/27/2012,349518,0,58.06,3.29,224,6.833
3,2/3/2012,424961,0,59.33,3.36,224,6.833
3,2/10/2012,473292,1,51.65,3.409,224,6.833
3,2/17/2012,475591,0,52.39,3.51,224,6.833
3,2/24/2012,418925,0,60.12,3.555,224,6.833
3,3/2/2012,469753,0,61.65,3.63,224,6.833
3,3/9/2012,445162,0,60.71,3.669,225,6.833
3,3/16/2012,411776,0,64,3.734,225,6.833
3,3/23/2012,413907,0,66.53,3.787,225,6.833
3,3/30/2012,407489,0,69.36,3.845,225,6.833
3,4/6/2012,503232,0,73.01,3.891,225,6.664
3,4/13/2012,420790,0,72.83,3.891,225,6.664
3,4/20/2012,434822,0,72.05,3.877,225,6.664
3,4/27/2012,394616,0,73.39,3.814,225,6.664
3,5/4/2012,439914,0,79.51,3.749,225,6.664
3,5/11/2012,431985,0,75.19,3.688,225,6.664
3,5/18/2012,418113,0,72.38,3.63,225,6.664
3,5/25/2012,413701,0,78.58,3.561,225,6.664
3,6/1/2012,432269,0,81.55,3.501,225,6.664
3,6/8/2012,446337,0,81.65,3.452,225,6.664
3,6/15/2012,442075,0,84.66,3.393,225,6.664
3,6/22/2012,419498,0,82.7,3.346,225,6.664
3,6/29/2012,422965,0,86.42,3.286,225,6.664
3,7/6/2012,411207,0,83.14,3.227,225,6.334
3,7/13/2012,416913,0,82.28,3.256,225,6.334
3,7/20/2012,432425,0,81.38,3.311,225,6.334
3,7/27/2012,389428,0,84.94,3.407,225,6.334
3,8/3/2012,419990,0,86.55,3.417,225,6.334
3,8/10/2012,391812,0,85.85,3.494,225,6.334
3,8/17/2012,394919,0,87.36,3.571,226,6.334
3,8/24/2012,412450,0,83.01,3.62,226,6.334
3,8/31/2012,408839,0,85.18,3.638,226,6.334
3,9/7/2012,408230,1,84.99,3.73,226,6.334
3,9/14/2012,407589,0,78.36,3.717,226,6.334
3,9/21/2012,414392,0,72.78,3.721,226,6.334
3,9/28/2012,389813,0,77.46,3.666,227,6.334
3,10/5/2012,443558,0,72.74,3.617,227,6.034
3,10/12/2012,410804,0,70.31,3.601,227,6.034
3,10/19/2012,424513,0,73.44,3.594,227,6.034
3,10/26/2012,405433,0,74.66,3.506,227,6.034
4,2/5/2010,2135144,0,43.76,2.598,126,8.623
4,2/12/2010,2188307,1,28.84,2.573,126,8.623
4,2/19/2010,2049860,0,36.45,2.54,127,8.623
4,2/26/2010,1925729,0,41.36,2.59,127,8.623
4,3/5/2010,1971057,0,43.49,2.654,127,8.623
4,3/12/2010,1894324,0,49.63,2.704,127,8.623
4,3/19/2010,1897429,0,55.19,2.743,127,8.623
4,3/26/2010,1762539,0,39.91,2.752,127,8.623
4,4/2/2010,1979247,0,48.77,2.74,127,7.896
4,4/9/2010,1818453,0,54.16,2.773,127,7.896
4,4/16/2010,1851520,0,56.23,2.81,127,7.896
4,4/23/2010,1802678,0,56.87,2.805,126,7.896
4,4/30/2010,1817273,0,53.04,2.787,126,7.896
4,5/7/2010,2000626,0,56.77,2.836,126,7.896
4,5/14/2010,1875597,0,62.35,2.845,126,7.896
4,5/21/2010,1903753,0,67.4,2.82,126,7.896
4,5/28/2010,1857534,0,67.73,2.756,126,7.896
4,6/4/2010,1903291,0,70.83,2.701,126,7.896
4,6/11/2010,1870619,0,78.45,2.668,126,7.896
4,6/18/2010,1929736,0,81.53,2.635,126,7.896
4,6/25/2010,1846652,0,81.1,2.654,126,7.896
4,7/2/2010,1881337,0,73.66,2.668,126,7.372
4,7/9/2010,1812208,0,80.35,2.637,126,7.372
4,7/16/2010,1898428,0,78.53,2.621,126,7.372
4,7/23/2010,1848427,0,79.78,2.612,126,7.372
4,7/30/2010,1796638,0,80.7,2.65,126,7.372
4,8/6/2010,1907639,0,76.53,2.64,126,7.372
4,8/13/2010,2007051,0,78.08,2.698,126,7.372
4,8/20/2010,1997181,0,78.83,2.671,126,7.372
4,8/27/2010,1848404,0,74.44,2.621,126,7.372
4,9/3/2010,1935858,0,76.8,2.584,126,7.372
4,9/10/2010,1865821,1,73.54,2.574,126,7.372
4,9/17/2010,1899960,0,64.91,2.594,126,7.372
4,9/24/2010,1810685,0,60.96,2.642,126,7.372
4,10/1/2010,1842821,0,63.96,2.619,126,7.127
4,10/8/2010,1951495,0,67.73,2.645,126,7.127
4,10/15/2010,1867345,0,62.03,2.732,126,7.127
4,10/22/2010,1927610,0,64.17,2.736,126,7.127
4,10/29/2010,1933333,0,56.94,2.718,126,7.127
4,11/5/2010,2013116,0,51.6,2.699,126,7.127
4,11/12/2010,1999794,0,52.65,2.741,127,7.127
4,11/19/2010,2097809,0,48.05,2.78,127,7.127
4,11/26/2010,2789469,1,48.08,2.752,127,7.127
4,12/3/2010,2102530,0,46.4,2.727,127,7.127
4,12/10/2010,2302505,0,42.4,2.86,127,7.127
4,12/17/2010,2740057,0,46.57,2.884,127,7.127
4,12/24/2010,3526713,0,43.21,2.887,127,7.127
4,12/31/2010,1794869,1,38.09,2.955,127,7.127
4,1/7/2011,1862476,0,39.34,2.98,127,6.51
4,1/14/2011,1865502,0,31.6,2.992,127,6.51
4,1/21/2011,1886394,0,38.34,3.017,127,6.51
4,1/28/2011,1814241,0,40.6,3.022,128,6.51
4,2/4/2011,2119086,0,34.61,2.996,128,6.51
4,2/11/2011,2187847,1,33.29,3.033,128,6.51
4,2/18/2011,2316496,0,48.17,3.058,128,6.51
